"# DVH Data - Dose in Gy, Differential Volume in cm3"
# Generated from DICOM RT data

Dose_Gy,BODY_1_Volume_cm3,CouchSurface_11_Volume_cm3,override_1_Volume_cm3,PTV_5mm_4cm_sphere_Volume_cm3,.GTV_point_source_Volume_cm3,OAR_2_1_Volume_cm3
0.090986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.091655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.092324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.092993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.093662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.094331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.095000,-158.0970,0.0000,-0.6814,0.0000,0.0000,0.0000
0.095669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.096338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.097007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
