"# Cumulative DVH Data - Dose in Gy, Volume in cm3"
# Values represent volume of structure receiving >= dose
# Generated from DICOM RT data

GY,BODY_1_Volume_cm3,CouchSurface_11_Volume_cm3,override_1_Volume_cm3,PTV_5mm_4cm_sphere_Volume_cm3,.GTV_point_source_Volume_cm3,OAR_2_1_Volume_cm3
0.090317,12888.7544,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.090986,12888.7544,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.091655,12888.7544,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.092324,12888.7544,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.092993,12888.7544,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.093662,12888.7544,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.094331,12888.7544,2038.6544,7839.9073,44.9097,5.3212,175.6189
0.095000,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.095669,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.096338,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.097007,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.097676,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.098345,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.099014,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.099683,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.100352,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.101021,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.101690,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.102359,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.103028,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.103697,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.104366,12730.6574,2038.6544,7839.2259,44.9097,5.3212,175.6189
0.105035,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.105704,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.106373,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.107042,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.107711,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.108380,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.109050,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.109719,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.110388,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.111057,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.111726,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.112395,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.113064,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.113733,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.114402,12558.0537,2038.6544,7826.7484,44.9097,5.3212,175.6189
0.115071,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.115740,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.116409,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.117078,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.117747,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.118416,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.119085,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.119754,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.120423,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.121092,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.121761,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.122430,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.123099,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.123768,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.124437,12348.1139,2038.6544,7787.7044,44.9097,5.3212,175.2476
0.125106,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.125775,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.126444,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.127113,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.127782,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.128451,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.129120,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.129789,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.130458,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.131127,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.131796,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.132465,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.133134,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.133803,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.134472,12130.6628,2038.6544,7725.5079,44.9097,5.3212,173.4197
0.135141,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
