GY,.GTV_point_source_Diff,OAR_2_1_Diff,PTV_5mm_4cm_sphere_Diff,override_1_Diff
0.07493,,-0.00013723095586892775,,-0.00011445089296568955
0.075599,,-0.00013723095586892775,,-0.00011648492681881617
0.076268,,-0.00013723095586892775,,-0.00011851896067183176
0.076937,,-0.00013723095586892775,,-0.00012055299452495838
0.077606,,-0.00013723095586892775,,-0.000122587028378085
0.078275,,-0.00013723095586892775,,-0.0001246210622311006
0.078944,,-0.00013723095586892775,,-0.0001266550960842272
0.079613,,-0.00013723095586892775,,-0.00012868912993735382
0.080282,,-0.00013723095586892775,,-0.00013101537978299493
0.080951,,-0.00013723095586892775,,-0.00013404479295919813
0.08162,,-0.00013723095586892775,,-0.0001370742061352903
0.082289,,-0.00013723095586892775,,-0.0001401036193114935
0.082958,,-0.00013723095586892775,,-0.0001431330324875857
0.083627,,-0.00013723095586892775,,-0.0001461624456637889
0.084296,,-0.00013723095586892775,,-0.00014919185883988106
0.084965,,-0.00013723095586892775,,-0.00015222127201608426
0.085634,,-0.00013723095586892775,,-0.00015525068519217644
0.086303,,-0.00013723095586892775,,-0.00015828009836837964
0.086972,,-0.00013723095586892775,,-0.00016130951154447182
0.087641,,-0.00013723095586892775,,-0.00016433892472067502
0.08831,,-0.00013723095586892775,,-0.0001675228671087492
0.088979,,-0.00013723095586892775,,-0.0001707253881931825
0.089648,,-0.00013723095586892775,,-0.0001739279092776158
0.090317,,-0.00013723095586892775,,-0.00017713043036204912
0.090986,,-0.00013723095586892775,,-0.00018033295144648243
0.091655,,-0.00013723095586892775,,-0.00018353547253091573
0.092324,,-0.00013723095586892775,,-0.00018673799361534904
0.092993,,-0.00013723095586892775,,-0.00018994051469978235
0.093662,,-0.00013723095586892775,,-0.00019314303578421566
0.094331,,-0.00013723095586892775,,-0.00019634555686864896
0.095,,-0.00013723095586892775,,-0.00014454807795305502
0.095669,,-0.00013723095586892775,,-0.00014864454234608804
0.096338,,-0.00013723095586892775,,-0.00015366483872991665
0.097007,,-0.00013723095586892775,,-0.00015868513511374527
0.097676,,-0.00013723095586892775,,-0.00016370543149757388
0.098345,,-0.00013723095586892775,,-0.0001687257278814025
0.099014,,-0.00013723095586892775,,-0.00017374602426523111
0.099683,,-0.00013723095586892775,,-0.00017876632064905973
0.100352,,-0.00013723095586892775,,-0.00018378661703277732
0.101021,,-0.00013723095586892775,,-0.00018880691341660594
0.10169,,-0.00013723095586892775,,-0.00019382720980043455
0.102359,,-0.00013723095586892775,,-0.00019884750618426317
0.103028,,-0.00013723095586892775,,-0.00020800338254711725
0.103697,,-0.00013723095586892775,,-0.00025837946591344974
0.104366,,-0.00013723095586892775,,-0.0003087555492797822
