"# Cumulative PET Volume Histogram (PVH) - PET in Bq/mL, Volume in mL"
# Values represent volume of structure with >= PET activity
# Generated from PET and RT Structure data

PET_Bq_per_mL,BODY_1_Volume_mL,CouchSurface_11_Volume_mL,override_1_Volume_mL,PTV_5mm_4cm_sphere_Volume_mL,.GTV_point_source_Volume_mL,OAR_2_1_Volume_mL
4628.164673,28.2623,0.0000,28.2623,17.9373,6.0702,0.0000
4669.487572,27.9119,0.0000,27.9119,17.9023,6.0702,0.0000
4710.810471,27.5894,0.0000,27.5894,17.8322,6.0702,0.0000
4752.133369,27.3651,0.0000,27.3651,17.7971,6.0702,0.0000
4793.456268,27.0777,0.0000,27.0777,17.7691,6.0702,0.0000
4834.779167,26.8394,0.0000,26.8394,17.6920,6.0702,0.0000
4876.102066,26.5100,0.0000,26.5100,17.6429,6.0702,0.0000
4917.424965,26.2436,0.0000,26.2436,17.5869,6.0702,0.0000
4958.747864,25.9212,0.0000,25.9212,17.5448,6.0702,0.0000
5000.070763,25.6828,0.0000,25.6828,17.4887,6.0702,0.0000
5041.393661,25.4165,0.0000,25.4165,17.4397,6.0702,0.0000
5082.716560,25.2202,0.0000,25.2202,17.4116,6.0702,0.0000
5124.039459,24.8978,0.0000,24.8978,17.3556,6.0702,0.0000
5165.362358,24.7296,0.0000,24.7296,17.3205,6.0702,0.0000
5206.685257,24.5263,0.0000,24.5263,17.3065,6.0702,0.0000
5248.008156,24.3160,0.0000,24.3160,17.2644,6.0702,0.0000
5289.331055,24.0566,0.0000,24.0566,17.2154,6.0702,0.0000
5330.653954,23.8113,0.0000,23.8113,17.1523,6.0702,0.0000
5371.976852,23.5730,0.0000,23.5730,17.1172,6.0702,0.0000
5413.299751,23.3627,0.0000,23.3627,17.0682,6.0702,0.0000
5454.622650,23.0823,0.0000,23.0823,17.0191,6.0702,0.0000
5495.945549,22.8790,0.0000,22.8790,16.9770,6.0702,0.0000
5537.268448,22.7459,0.0000,22.7459,16.9490,6.0702,0.0000
5578.591347,22.5496,0.0000,22.5496,16.8859,6.0702,0.0000
5619.914246,22.2832,0.0000,22.2832,16.8298,6.0702,0.0000
5661.237144,22.0940,0.0000,22.0940,16.7738,6.0702,0.0000
5702.560043,21.8837,0.0000,21.8837,16.7177,6.0702,0.0000
5743.882942,21.7715,0.0000,21.7715,16.6616,6.0702,0.0000
5785.205841,21.6384,0.0000,21.6384,16.6196,6.0702,0.0000
5826.528740,21.4281,0.0000,21.4281,16.5354,6.0702,0.0000
5867.851639,21.2528,0.0000,21.2528,16.4794,6.0702,0.0000
5909.174538,21.1477,0.0000,21.1477,16.4724,6.0702,0.0000
5950.497437,20.9725,0.0000,20.9725,16.4443,6.0702,0.0000
5991.820335,20.7972,0.0000,20.7972,16.4093,6.0702,0.0000
6033.143234,20.6290,0.0000,20.6290,16.3672,6.0702,0.0000
6074.466133,20.4888,0.0000,20.4888,16.3181,6.0702,0.0000
6115.789032,20.3486,0.0000,20.3486,16.2761,6.0702,0.0000
6157.111931,20.2224,0.0000,20.2224,16.2480,6.0702,0.0000
6198.434830,20.0752,0.0000,20.0752,16.1850,6.0702,0.0000
6239.757729,19.9210,0.0000,19.9210,16.1429,6.0702,0.0000
6281.080627,19.7738,0.0000,19.7738,16.0868,6.0702,0.0000
6322.403526,19.6687,0.0000,19.6687,16.0518,6.0702,0.0000
6363.726425,19.5425,0.0000,19.5425,16.0448,6.0702,0.0000
6405.049324,19.4234,0.0000,19.4234,15.9887,6.0702,0.0000
6446.372223,19.3252,0.0000,19.3252,15.9607,6.0702,0.0000
6487.695122,19.1640,0.0000,19.1640,15.8976,6.0702,0.0000
6529.018021,19.0799,0.0000,19.0799,15.8695,6.0702,0.0000
6570.340919,18.9818,0.0000,18.9818,15.8485,6.0702,0.0000
6611.663818,18.8135,0.0000,18.8135,15.8135,6.0702,0.0000
6652.986717,18.6593,0.0000,18.6593,15.7434,6.0702,0.0000
6694.309616,18.5051,0.0000,18.5051,15.7083,6.0702,0.0000
6735.632515,18.3789,0.0000,18.3789,15.6382,6.0702,0.0000
6776.955414,18.2668,0.0000,18.2668,15.6032,6.0702,0.0000
6818.278313,18.1476,0.0000,18.1476,15.5541,6.0702,0.0000
6859.601212,18.0495,0.0000,18.0495,15.5261,6.0702,0.0000
6900.924110,17.9443,0.0000,17.9443,15.4700,6.0702,0.0000
6942.247009,17.8532,0.0000,17.8532,15.4490,6.0702,0.0000
6983.569908,17.7691,0.0000,17.7691,15.4209,6.0702,0.0000
7024.892807,17.6990,0.0000,17.6990,15.4069,6.0702,0.0000
7066.215706,17.5658,0.0000,17.5658,15.3578,6.0702,0.0000
7107.538605,17.3696,0.0000,17.3696,15.2807,6.0702,0.0000
7148.861504,17.2574,0.0000,17.2574,15.2317,6.0702,0.0000
7190.184402,17.1383,0.0000,17.1383,15.2106,6.0702,0.0000
7231.507301,17.0612,0.0000,17.0612,15.1756,6.0702,0.0000
7272.830200,16.9840,0.0000,16.9840,15.1476,6.0702,0.0000
7314.153099,16.9069,0.0000,16.9069,15.1265,6.0702,0.0000
7355.475998,16.7668,0.0000,16.7668,15.0775,6.0702,0.0000
7396.798897,16.6406,0.0000,16.6406,15.0144,6.0702,0.0000
7438.121796,16.5775,0.0000,16.5775,14.9933,6.0702,0.0000
7479.444695,16.4653,0.0000,16.4653,14.9513,6.0702,0.0000
7520.767593,16.3742,0.0000,16.3742,14.9232,6.0702,0.0000
7562.090492,16.2691,0.0000,16.2691,14.8742,6.0702,0.0000
7603.413391,16.1850,0.0000,16.1850,14.8602,6.0702,0.0000
7644.736290,16.0938,0.0000,16.0938,14.7831,6.0702,0.0000
7686.059189,16.0237,0.0000,16.0237,14.7410,6.0702,0.0000
7727.382088,15.9256,0.0000,15.9256,14.7130,6.0702,0.0000
7768.704987,15.8625,0.0000,15.8625,14.6639,6.0702,0.0000
7810.027885,15.7994,0.0000,15.7994,14.6499,6.0702,0.0000
7851.350784,15.7153,0.0000,15.7153,14.6218,6.0702,0.0000
7892.673683,15.6312,0.0000,15.6312,14.5868,6.0702,0.0000
7933.996582,15.5541,0.0000,15.5541,14.5588,6.0702,0.0000
7975.319481,15.4910,0.0000,15.4910,14.5167,6.0702,0.0000
