"# Cumulative PET Volume Histogram (PVH) - PET in Bq/mL, Relative Cumulative Volume (fraction 0-1)"
# Values represent fraction of structure volume with >= PET activity
# Generated from PET and RT Structure data

PET_Bq_per_mL,BODY_1_RelativeCumVolume,CouchSurface_11_RelativeCumVolume,override_1_RelativeCumVolume,PTV_5mm_4cm_sphere_RelativeCumVolume,.GTV_point_source_RelativeCumVolume,OAR_2_1_RelativeCumVolume
6859.601212,0.000475,0.000000,0.000945,0.301033,1.000000,0.000000
6900.924110,0.000472,0.000000,0.000939,0.299946,1.000000,0.000000
6942.247009,0.000470,0.000000,0.000935,0.299538,1.000000,0.000000
6983.569908,0.000467,0.000000,0.000930,0.298994,1.000000,0.000000
7024.892807,0.000466,0.000000,0.000927,0.298722,1.000000,0.000000
7066.215706,0.000462,0.000000,0.000920,0.297771,1.000000,0.000000
7107.538605,0.000457,0.000000,0.000909,0.296276,1.000000,0.000000
7148.861504,0.000454,0.000000,0.000903,0.295325,1.000000,0.000000
7190.184402,0.000451,0.000000,0.000897,0.294917,1.000000,0.000000
7231.507301,0.000449,0.000000,0.000893,0.294238,1.000000,0.000000
7272.830200,0.000447,0.000000,0.000889,0.293694,1.000000,0.000000
7314.153099,0.000445,0.000000,0.000885,0.293286,1.000000,0.000000
7355.475998,0.000441,0.000000,0.000878,0.292335,1.000000,0.000000
7396.798897,0.000438,0.000000,0.000871,0.291112,1.000000,0.000000
7438.121796,0.000436,0.000000,0.000868,0.290704,1.000000,0.000000
7479.444695,0.000433,0.000000,0.000862,0.289889,1.000000,0.000000
7520.767593,0.000431,0.000000,0.000857,0.289345,1.000000,0.000000
7562.090492,0.000428,0.000000,0.000852,0.288394,1.000000,0.000000
7603.413391,0.000426,0.000000,0.000847,0.288122,1.000000,0.000000
7644.736290,0.000423,0.000000,0.000843,0.286627,1.000000,0.000000
7686.059189,0.000421,0.000000,0.000839,0.285811,1.000000,0.000000
7727.382088,0.000419,0.000000,0.000834,0.285268,1.000000,0.000000
7768.704987,0.000417,0.000000,0.000830,0.284316,1.000000,0.000000
7810.027885,0.000416,0.000000,0.000827,0.284045,1.000000,0.000000
7851.350784,0.000413,0.000000,0.000823,0.283501,1.000000,0.000000
7892.673683,0.000411,0.000000,0.000818,0.282821,1.000000,0.000000
7933.996582,0.000409,0.000000,0.000814,0.282278,1.000000,0.000000
7975.319481,0.000407,0.000000,0.000811,0.281462,1.000000,0.000000
8016.642380,0.000407,0.000000,0.000810,0.281326,1.000000,0.000000
8057.965279,0.000405,0.000000,0.000807,0.280783,1.000000,0.000000
8099.288177,0.000404,0.000000,0.000803,0.279831,1.000000,0.000000
8140.611076,0.000403,0.000000,0.000801,0.279560,1.000000,0.000000
8181.933975,0.000402,0.000000,0.000799,0.279288,1.000000,0.000000
8223.256874,0.000400,0.000000,0.000796,0.278337,1.000000,0.000000
8264.579773,0.000398,0.000000,0.000792,0.277521,1.000000,0.000000
8305.902672,0.000396,0.000000,0.000789,0.276842,1.000000,0.000000
8347.225571,0.000395,0.000000,0.000787,0.276298,1.000000,0.000000
8388.548470,0.000394,0.000000,0.000784,0.275482,1.000000,0.000000
8429.871368,0.000393,0.000000,0.000782,0.274939,1.000000,0.000000
8471.194267,0.000392,0.000000,0.000780,0.274667,1.000000,0.000000
8512.517166,0.000391,0.000000,0.000777,0.274259,1.000000,0.000000
8553.840065,0.000389,0.000000,0.000774,0.273444,1.000000,0.000000
8595.162964,0.000388,0.000000,0.000771,0.272628,1.000000,0.000000
8636.485863,0.000386,0.000000,0.000769,0.272221,1.000000,0.000000
8677.808762,0.000385,0.000000,0.000767,0.271949,1.000000,0.000000
8719.131660,0.000383,0.000000,0.000762,0.270726,1.000000,0.000000
8760.454559,0.000382,0.000000,0.000760,0.270182,1.000000,0.000000
8801.777458,0.000381,0.000000,0.000758,0.269774,1.000000,0.000000
8843.100357,0.000380,0.000000,0.000756,0.269367,1.000000,0.000000
8884.423256,0.000379,0.000000,0.000754,0.268823,1.000000,0.000000
8925.746155,0.000378,0.000000,0.000753,0.268415,1.000000,0.000000
8967.069054,0.000377,0.000000,0.000751,0.267872,1.000000,0.000000
9008.391953,0.000376,0.000000,0.000748,0.266920,1.000000,0.000000
9049.714851,0.000374,0.000000,0.000745,0.265969,1.000000,0.000000
9091.037750,0.000374,0.000000,0.000744,0.265697,1.000000,0.000000
9132.360649,0.000373,0.000000,0.000743,0.265289,1.000000,0.000000
9173.683548,0.000372,0.000000,0.000741,0.264882,1.000000,0.000000
9215.006447,0.000372,0.000000,0.000739,0.264882,1.000000,0.000000
9256.329346,0.000370,0.000000,0.000737,0.264338,1.000000,0.000000
9297.652245,0.000369,0.000000,0.000734,0.263659,1.000000,0.000000
9338.975143,0.000367,0.000000,0.000730,0.262028,1.000000,0.000000
9380.298042,0.000366,0.000000,0.000728,0.261348,1.000000,0.000000
9421.620941,0.000364,0.000000,0.000725,0.260669,1.000000,0.000000
9462.943840,0.000363,0.000000,0.000723,0.260261,1.000000,0.000000
9504.266739,0.000361,0.000000,0.000719,0.259581,1.000000,0.000000
9545.589638,0.000360,0.000000,0.000717,0.259038,1.000000,0.000000
9586.912537,0.000359,0.000000,0.000715,0.258494,1.000000,0.000000
9628.235435,0.000358,0.000000,0.000713,0.257951,1.000000,0.000000
9669.558334,0.000358,0.000000,0.000712,0.257679,1.000000,0.000000
9710.881233,0.000356,0.000000,0.000709,0.256863,1.000000,0.000000
9752.204132,0.000355,0.000000,0.000706,0.256456,1.000000,0.000000
9793.527031,0.000353,0.000000,0.000703,0.255368,1.000000,0.000000
9834.849930,0.000352,0.000000,0.000701,0.254553,1.000000,0.000000
9876.172829,0.000351,0.000000,0.000699,0.253873,0.998845,0.000000
9917.495728,0.000351,0.000000,0.000698,0.253602,0.998845,0.000000
9958.818626,0.000350,0.000000,0.000696,0.253194,0.998845,0.000000
10000.141525,0.000349,0.000000,0.000694,0.252514,0.998845,0.000000
10041.464424,0.000348,0.000000,0.000694,0.252514,0.998845,0.000000
10082.787323,0.000348,0.000000,0.000692,0.251971,0.998845,0.000000
10124.110222,0.000347,0.000000,0.000690,0.251427,0.998845,0.000000
10165.433121,0.000346,0.000000,0.000689,0.251155,0.998845,0.000000
10206.756020,0.000346,0.000000,0.000688,0.250747,0.998845,0.000000
10248.078918,0.000344,0.000000,0.000684,0.250068,0.998845,0.000000
10289.401817,0.000343,0.000000,0.000683,0.249660,0.998845,0.000000
10330.724716,0.000341,0.000000,0.000678,0.248573,0.998845,0.000000
10372.047615,0.000339,0.000000,0.000676,0.247622,0.998845,0.000000
10413.370514,0.000339,0.000000,0.000674,0.247078,0.998845,0.000000
10454.693413,0.000338,0.000000,0.000673,0.246806,0.998845,0.000000
10496.016312,0.000337,0.000000,0.000671,0.246534,0.998845,0.000000
10537.339211,0.000337,0.000000,0.000670,0.246263,0.998845,0.000000
10578.662109,0.000336,0.000000,0.000669,0.245719,0.998845,0.000000
10619.985008,0.000335,0.000000,0.000667,0.245311,0.998845,0.000000
10661.307907,0.000334,0.000000,0.000666,0.244904,0.998845,0.000000
10702.630806,0.000334,0.000000,0.000665,0.244632,0.998845,0.000000
10743.953705,0.000333,0.000000,0.000663,0.243952,0.998845,0.000000
10785.276604,0.000332,0.000000,0.000661,0.243409,0.998845,0.000000
10826.599503,0.000331,0.000000,0.000659,0.242729,0.998845,0.000000
10867.922401,0.000330,0.000000,0.000656,0.241642,0.997691,0.000000
10909.245300,0.000328,0.000000,0.000654,0.240826,0.997691,0.000000
10950.568199,0.000328,0.000000,0.000652,0.240283,0.997691,0.000000
10991.891098,0.000327,0.000000,0.000650,0.239467,0.997691,0.000000
11033.213997,0.000326,0.000000,0.000649,0.239331,0.997691,0.000000
11074.536896,0.000325,0.000000,0.000648,0.238788,0.997691,0.000000
11115.859795,0.000324,0.000000,0.000645,0.237700,0.997691,0.000000
11157.182693,0.000324,0.000000,0.000644,0.237565,0.997691,0.000000
11198.505592,0.000323,0.000000,0.000643,0.237021,0.997691,0.000000
11239.828491,0.000322,0.000000,0.000641,0.236613,0.997691,0.000000
11281.151390,0.000322,0.000000,0.000640,0.236070,0.997691,0.000000
11322.474289,0.000320,0.000000,0.000638,0.235526,0.997691,0.000000
11363.797188,0.000320,0.000000,0.000637,0.235118,0.997691,0.000000
11405.120087,0.000319,0.000000,0.000636,0.234711,0.997691,0.000000
11446.442986,0.000318,0.000000,0.000633,0.233895,0.997691,0.000000
11487.765884,0.000317,0.000000,0.000631,0.233080,0.997691,0.000000
11529.088783,0.000317,0.000000,0.000630,0.232944,0.997691,0.000000
11570.411682,0.000316,0.000000,0.000629,0.232400,0.997691,0.000000
11611.734581,0.000315,0.000000,0.000628,0.231856,0.997691,0.000000
11653.057480,0.000315,0.000000,0.000626,0.231313,0.996536,0.000000
11694.380379,0.000314,0.000000,0.000625,0.231177,0.996536,0.000000
11735.703278,0.000314,0.000000,0.000625,0.230905,0.996536,0.000000
11777.026176,0.000313,0.000000,0.000623,0.230226,0.996536,0.000000
11818.349075,0.000313,0.000000,0.000622,0.230226,0.996536,0.000000
11859.671974,0.000312,0.000000,0.000621,0.229818,0.996536,0.000000
11900.994873,0.000312,0.000000,0.000621,0.229546,0.996536,0.000000
11942.317772,0.000311,0.000000,0.000619,0.229002,0.996536,0.000000
11983.640671,0.000311,0.000000,0.000618,0.228731,0.996536,0.000000
12024.963570,0.000310,0.000000,0.000618,0.228459,0.996536,0.000000
12066.286469,0.000310,0.000000,0.000617,0.228051,0.996536,0.000000
12107.609367,0.000310,0.000000,0.000616,0.227915,0.996536,0.000000
12148.932266,0.000309,0.000000,0.000614,0.227236,0.996536,0.000000
12190.255165,0.000308,0.000000,0.000613,0.226828,0.995381,0.000000
12231.578064,0.000307,0.000000,0.000612,0.226420,0.995381,0.000000
12272.900963,0.000307,0.000000,0.000611,0.226148,0.995381,0.000000
12314.223862,0.000307,0.000000,0.000611,0.226148,0.995381,0.000000
12355.546761,0.000307,0.000000,0.000610,0.226013,0.995381,0.000000
12396.869659,0.000306,0.000000,0.000610,0.225877,0.995381,0.000000
12438.192558,0.000306,0.000000,0.000610,0.225741,0.995381,0.000000
12479.515457,0.000305,0.000000,0.000608,0.225061,0.995381,0.000000
12520.838356,0.000305,0.000000,0.000606,0.224518,0.995381,0.000000
12562.161255,0.000304,0.000000,0.000605,0.224246,0.995381,0.000000
